,0,1,2,3,4,5,6,7,8,9
0,np_asinh,2.0,1.0,1.0,1.0,3.0,500.0,187.0,4.0,4.0
1,np_atan2,2.0,1.0,1.0,1.0,3.0,500.0,496.0,187.0,138.0
2,np_tanh,2.0,1.0,1.0,1.0,3.0,500.0,500.0,125.0,20.0
3,np_cos,2.0,1.0,1.0,1.0,3.0,500.0,475.0,338.0,18.0
4,np_cosh,2.0,1.0,1.0,1.0,3.0,500.0,0.0,0.0,0.0
5,np_sin,2.0,1.0,1.0,1.0,3.0,500.0,466.0,303.0,22.0
6,np_hypot,2.0,1.0,1.0,1.0,3.0,500.0,1.0,0.0,0.0
7,np_tan,2.0,1.0,1.0,1.0,3.0,500.0,1.0,0.0,0.0
8,np_ceil,2.0,1.0,1.0,1.0,3.0,500.0,1.0,1.0,1.0
9,np_log1p,2.0,1.0,1.0,1.0,3.0,500.0,297.0,37.0,19.0
10,np_abs,2.0,1.0,1.0,1.0,3.0,500.0,21.0,9.0,7.0
11,np_sqrt,2.0,1.0,1.0,1.0,3.0,500.0,159.0,9.0,8.0
12,np_asin,2.0,1.0,1.0,1.0,3.0,500.0,0.0,0.0,0.0
13,np_atan,2.0,1.0,1.0,1.0,3.0,500.0,496.0,79.0,28.0
14,np_floor,2.0,1.0,1.0,1.0,3.0,500.0,0.0,0.0,0.0
15,np_acosh,2.0,1.0,1.0,1.0,3.0,500.0,1.0,0.0,0.0
16,np_log10,2.0,1.0,1.0,1.0,3.0,500.0,473.0,85.0,20.0
17,np_atanh,2.0,1.0,1.0,1.0,3.0,500.0,0.0,0.0,0.0
18,np_min,2.0,1.0,1.0,1.0,3.0,500.0,72.0,20.0,15.0
19,np_log,2.0,1.0,1.0,1.0,3.0,500.0,182.0,9.0,7.0
20,np_sinh,2.0,1.0,1.0,1.0,3.0,500.0,0.0,0.0,0.0
21,np_exp,2.0,1.0,1.0,1.0,3.0,500.0,1.0,0.0,0.0
22,np_acos,2.0,1.0,1.0,1.0,3.0,500.0,0.0,0.0,0.0
23,np_round,2.0,1.0,1.0,1.0,3.0,500.0,3.0,1.0,1.0
24,np_max,2.0,1.0,1.0,1.0,3.0,500.0,8.0,0.0,0.0
