,phase1,phase2,phase3
6_2_3_3_1_1,500.0,499.0,464.0
24_3_1_1_1_1,500.0,70.0,4.0
5_2_3_2_1_1,500.0,499.0,465.0
7_2_1_1_1_1,500.0,401.0,175.0
11_2_1_1_1_2,500.0,0.0,
25_2_1_2_1_1,500.0,496.0,472.0
13_2_2_1_1_1,500.0,0.0,
8_2_2_2_1_1,500.0,0.0,
15_2_1_1_1_3,500.0,2.0,1.0
17_2_2_1_1_1,500.0,98.0,6.0
21_2_1_2_1_1,500.0,500.0,479.0
15_2_1_1_1_2,500.0,32.0,9.0
3_2_1_1_1_1,500.0,0.0,
22_2_1_3_1_1,500.0,495.0,464.0
1_2_3_2_1_1,500.0,499.0,471.0
20_3_1_1_1_1,500.0,30.0,4.0
2_2_3_3_1_1,500.0,0.0,
23_2_3_1_1_1,500.0,26.0,4.0
18_2_1_2_1_1,500.0,495.0,495.0
11_2_1_1_1_3,500.0,0.0,
19_3_1_1_1_1,500.0,95.0,2.0
13_2_3_2_1_1,500.0,497.0,453.0
24_3_1_1_1_2,500.0,26.0,7.0
10_2_3_3_1_1,500.0,494.0,434.0
5_2_2_1_1_1,500.0,95.0,9.0
7_2_1_1_1_2,500.0,222.0,60.0
24_2_2_3_1_1,500.0,47.0,21.0
11_2_1_1_1_1,500.0,1.0,1.0
8_2_3_1_1_1,500.0,0.0,
3_2_1_1_1_3,500.0,0.0,
9_2_1_3_1_1,500.0,498.0,482.0
23_2_2_2_1_1,500.0,494.0,406.0
15_2_1_1_1_1,500.0,228.0,3.0
3_2_1_1_1_2,500.0,0.0,
20_2_2_3_1_1,500.0,493.0,450.0
1_2_2_1_1_1,500.0,55.0,2.0
14_2_3_3_1_1,500.0,499.0,498.0
20_3_1_1_1_2,500.0,0.0,
17_2_3_2_1_1,500.0,490.0,387.0
7_2_1_1_1_3,500.0,72.0,45.0
19_2_2_3_1_1,500.0,492.0,492.0
19_3_1_1_1_2,500.0,9.0,7.0
24_2_2_2_1_1,500.0,63.0,31.0
12_2_1_1_1_1,500.0,500.0,1.0
4_2_1_1_1_2,500.0,0.0,
6_2_2_1_1_1,500.0,397.0,16.0
13_2_3_3_1_1,500.0,494.0,453.0
10_2_3_2_1_1,500.0,499.0,449.0
9_2_1_2_1_1,500.0,493.0,476.0
8_3_1_1_1_1,500.0,0.0,
14_2_3_2_1_1,500.0,498.0,498.0
23_3_1_1_1_2,500.0,4.0,3.0
17_2_3_3_1_1,500.0,495.0,388.0
2_2_2_1_1_1,500.0,0.0,
23_2_2_3_1_1,500.0,495.0,400.0
16_2_1_1_1_1,500.0,298.0,4.0
20_2_2_2_1_1,500.0,495.0,455.0
4_2_1_1_1_3,500.0,0.0,
19_2_2_2_1_1,500.0,496.0,496.0
10_2_2_1_1_1,500.0,0.0,
12_2_1_1_1_2,500.0,465.0,5.0
4_2_1_1_1_1,500.0,0.0,
25_2_1_3_1_1,500.0,496.0,476.0
6_2_3_2_1_1,500.0,497.0,471.0
5_2_3_3_1_1,500.0,497.0,444.0
24_2_3_1_1_1,500.0,0.0,
8_2_2_3_1_1,500.0,0.0,
16_2_1_1_1_3,500.0,4.0,2.0
8_3_1_1_1_2,500.0,0.0,
20_2_3_1_1_1,500.0,0.0,
1_2_3_3_1_1,500.0,495.0,468.0
23_3_1_1_1_1,500.0,88.0,20.0
2_2_3_2_1_1,500.0,0.0,
21_2_1_3_1_1,500.0,495.0,470.0
22_2_1_2_1_1,500.0,492.0,456.0
16_2_1_1_1_2,500.0,87.0,13.0
14_2_2_1_1_1,500.0,5.0,2.0
19_2_3_1_1_1,500.0,11.0,1.0
18_2_1_3_1_1,500.0,498.0,497.0
12_2_1_1_1_3,500.0,392.0,9.0
21_2_1_1_1_3,500.0,197.0,17.0
8_2_3_2_1_1,500.0,0.0,
6_2_2_3_1_1,500.0,498.0,455.0
11_2_1_2_1_1,500.0,498.0,473.0
25_2_1_1_1_2,500.0,258.0,36.0
18_2_1_1_1_3,500.0,1.0,1.0
5_2_2_2_1_1,500.0,497.0,449.0
12_2_1_3_1_1,500.0,496.0,475.0
10_3_1_1_1_1,500.0,477.0,170.0
13_2_3_1_1_1,500.0,0.0,
6_3_1_1_1_2,500.0,86.0,45.0
18_2_1_1_1_2,500.0,45.0,16.0
25_2_1_1_1_3,500.0,160.0,31.0
2_3_1_1_1_2,500.0,0.0,
17_2_3_1_1_1,500.0,116.0,5.0
14_3_1_1_1_1,500.0,0.0,
1_2_2_2_1_1,500.0,494.0,454.0
16_2_1_3_1_1,500.0,492.0,428.0
23_2_2_1_1_1,500.0,29.0,4.0
2_2_2_3_1_1,500.0,0.0,
21_2_1_1_1_2,500.0,226.0,9.0
15_2_1_2_1_1,500.0,485.0,389.0
8_2_2_1_1_1,500.0,0.0,
25_2_1_1_1_1,500.0,436.0,11.0
4_2_1_3_1_1,500.0,0.0,
13_2_2_2_1_1,500.0,496.0,453.0
7_2_1_2_1_1,500.0,497.0,496.0
10_2_2_3_1_1,500.0,500.0,449.0
24_2_3_3_1_1,500.0,48.0,23.0
10_3_1_1_1_2,500.0,332.0,174.0
5_2_3_1_1_1,500.0,97.0,10.0
6_3_1_1_1_1,500.0,406.0,163.0
19_2_3_3_1_1,500.0,498.0,495.0
18_2_1_1_1_1,500.0,213.0,1.0
2_3_1_1_1_1,500.0,0.0,
23_2_3_2_1_1,500.0,494.0,402.0
1_2_3_1_1_1,500.0,41.0,2.0
14_3_1_1_1_2,500.0,0.0,
20_2_3_3_1_1,500.0,489.0,456.0
3_2_1_2_1_1,500.0,0.0,
14_2_2_3_1_1,500.0,500.0,500.0
17_2_2_2_1_1,500.0,494.0,395.0
21_2_1_1_1_1,500.0,319.0,13.0
9_2_1_1_1_2,500.0,36.0,6.0
5_3_1_1_1_1,500.0,163.0,27.0
24_2_3_2_1_1,500.0,67.0,31.0
6_2_3_1_1_1,500.0,406.0,16.0
13_3_1_1_1_2,500.0,0.0,
13_2_2_3_1_1,500.0,495.0,457.0
4_2_1_2_1_1,500.0,0.0,
10_2_2_2_1_1,500.0,499.0,435.0
7_2_1_3_1_1,500.0,499.0,498.0
19_2_3_2_1_1,500.0,493.0,492.0
22_2_1_1_1_1,500.0,0.0,
14_2_2_2_1_1,500.0,497.0,496.0
3_2_1_3_1_1,500.0,0.0,
9_2_1_1_1_3,500.0,4.0,2.0
17_2_2_3_1_1,500.0,493.0,388.0
23_2_3_3_1_1,500.0,494.0,395.0
17_3_1_1_1_2,500.0,65.0,32.0
2_2_3_1_1_1,500.0,0.0,
20_2_3_2_1_1,500.0,495.0,460.0
1_3_1_1_1_1,500.0,306.0,186.0
8_2_3_3_1_1,500.0,0.0,
9_2_1_1_1_1,500.0,202.0,2.0
22_2_1_1_1_3,500.0,0.0,
5_3_1_1_1_2,500.0,7.0,6.0
10_2_3_1_1_1,500.0,0.0,
13_3_1_1_1_1,500.0,32.0,2.0
11_2_1_3_1_1,500.0,498.0,480.0
6_2_2_2_1_1,500.0,498.0,466.0
24_2_2_1_1_1,500.0,0.0,
12_2_1_2_1_1,500.0,498.0,473.0
5_2_2_3_1_1,500.0,496.0,450.0
19_2_2_1_1_1,500.0,18.0,2.0
22_2_1_1_1_2,500.0,0.0,
16_2_1_2_1_1,500.0,496.0,442.0
1_2_2_3_1_1,500.0,500.0,455.0
20_2_2_1_1_1,500.0,0.0,
15_2_1_3_1_1,500.0,488.0,402.0
2_2_2_2_1_1,500.0,0.0,
17_3_1_1_1_1,500.0,262.0,24.0
14_2_3_1_1_1,500.0,6.0,2.0
1_3_1_1_1_2,500.0,8.0,4.0
3_2_3_1_1_1,500.0,0.0,
16_3_1_1_1_2,500.0,32.0,13.0
22_2_3_3_1_1,500.0,495.0,459.0
21_2_3_2_1_1,500.0,496.0,462.0
15_2_2_2_1_1,500.0,492.0,381.0
2_2_1_3_1_1,500.0,0.0,
23_2_1_1_1_1,500.0,77.0,4.0
16_2_2_3_1_1,500.0,492.0,391.0
1_2_1_2_1_1,500.0,497.0,475.0
8_2_1_1_1_3,500.0,0.0,
18_2_3_2_1_1,500.0,495.0,494.0
12_2_2_3_1_1,500.0,495.0,461.0
5_2_1_2_1_1,500.0,497.0,475.0
11_2_2_2_1_1,500.0,499.0,471.0
6_2_1_3_1_1,500.0,498.0,481.0
25_2_3_2_1_1,500.0,497.0,470.0
4_3_1_1_1_1,500.0,0.0,
12_3_1_1_1_2,500.0,429.0,23.0
7_2_3_1_1_1,500.0,356.0,241.0
8_2_1_1_1_2,500.0,0.0,
16_3_1_1_1_1,500.0,283.0,22.0
15_2_3_1_1_1,500.0,31.0,2.0
21_2_2_1_1_1,500.0,0.0,
23_2_1_1_1_2,500.0,19.0,7.0
17_2_1_2_1_1,500.0,498.0,428.0
14_2_1_3_1_1,500.0,498.0,498.0
3_2_2_2_1_1,500.0,0.0,
18_2_2_1_1_1,500.0,20.0,1.0
10_2_1_3_1_1,500.0,500.0,475.0
7_2_2_2_1_1,500.0,498.0,498.0
13_2_1_2_1_1,500.0,498.0,462.0
4_2_2_3_1_1,500.0,0.0,
25_2_2_1_1_1,500.0,425.0,16.0
11_2_3_1_1_1,500.0,0.0,
4_3_1_1_1_2,500.0,0.0,
12_3_1_1_1_1,500.0,498.0,6.0
8_2_1_1_1_1,500.0,0.0,
23_2_1_1_1_3,500.0,0.0,
9_2_3_3_1_1,500.0,495.0,464.0
17_2_1_3_1_1,500.0,491.0,420.0
3_2_2_3_1_1,500.0,0.0,
20_2_1_1_1_2,500.0,38.0,6.0
14_2_1_2_1_1,500.0,498.0,498.0
22_2_2_1_1_1,500.0,0.0,
16_2_3_1_1_1,500.0,139.0,5.0
3_3_1_1_1_2,500.0,0.0,
15_3_1_1_1_1,500.0,148.0,16.0
24_2_1_1_1_3,500.0,0.0,
19_2_1_1_1_2,500.0,138.0,18.0
11_3_1_1_1_1,500.0,191.0,2.0
7_3_1_1_1_2,500.0,39.0,30.0
12_2_3_1_1_1,500.0,499.0,2.0
19_2_1_1_1_3,500.0,3.0,2.0
7_2_2_3_1_1,500.0,499.0,498.0
10_2_1_2_1_1,500.0,499.0,466.0
24_2_1_1_1_2,500.0,6.0,3.0
4_2_2_2_1_1,500.0,0.0,
13_2_1_3_1_1,500.0,497.0,482.0
9_2_3_2_1_1,500.0,499.0,456.0
20_2_1_1_1_3,500.0,0.0,
2_2_1_2_1_1,500.0,0.0,
15_2_2_3_1_1,500.0,488.0,385.0
20_2_1_1_1_1,500.0,192.0,1.0
1_2_1_3_1_1,500.0,495.0,464.0
16_2_2_2_1_1,500.0,496.0,418.0
22_2_3_2_1_1,500.0,496.0,465.0
3_3_1_1_1_1,500.0,0.0,
21_2_3_3_1_1,500.0,497.0,453.0
15_3_1_1_1_2,500.0,3.0,2.0
19_2_1_1_1_1,500.0,193.0,1.0
18_2_3_3_1_1,500.0,497.0,496.0
4_2_3_1_1_1,500.0,0.0,
11_3_1_1_1_2,500.0,36.0,2.0
25_2_3_3_1_1,500.0,497.0,464.0
7_3_1_1_1_1,500.0,251.0,248.0
5_2_1_3_1_1,500.0,497.0,480.0
12_2_2_2_1_1,500.0,498.0,459.0
24_2_1_1_1_1,500.0,1.0,1.0
6_2_1_2_1_1,500.0,496.0,472.0
11_2_2_3_1_1,500.0,498.0,465.0
9_2_2_1_1_1,500.0,0.0,
5_2_1_1_1_3,500.0,1.0,1.0
18_2_2_2_1_1,500.0,495.0,495.0
22_2_2_3_1_1,500.0,493.0,448.0
1_2_1_1_1_2,500.0,69.0,5.0
3_2_2_1_1_1,500.0,0.0,
21_2_2_2_1_1,500.0,499.0,441.0
17_2_1_1_1_1,500.0,270.0,3.0
15_2_3_2_1_1,500.0,489.0,385.0
16_2_3_3_1_1,500.0,490.0,395.0
22_3_1_1_1_2,500.0,33.0,2.0
9_3_1_1_1_1,500.0,33.0,4.0
8_2_1_2_1_1,500.0,0.0,
1_2_1_1_1_3,500.0,0.0,
12_2_3_3_1_1,500.0,498.0,467.0
11_2_3_2_1_1,500.0,498.0,467.0
13_2_1_1_1_1,500.0,185.0,1.0
25_2_2_2_1_1,500.0,498.0,467.0
7_2_2_1_1_1,500.0,363.0,236.0
5_2_1_1_1_2,500.0,24.0,11.0
19_2_1_3_1_1,500.0,493.0,493.0
13_2_1_1_1_3,500.0,0.0,
18_2_3_1_1_1,500.0,24.0,2.0
1_2_1_1_1_1,500.0,400.0,2.0
20_2_1_3_1_1,500.0,494.0,463.0
15_2_2_1_1_1,500.0,36.0,3.0
23_2_1_2_1_1,500.0,497.0,428.0
17_2_1_1_1_2,500.0,119.0,18.0
21_2_3_1_1_1,500.0,0.0,
3_2_3_2_1_1,500.0,0.0,
22_3_1_1_1_1,500.0,183.0,3.0
9_3_1_1_1_2,500.0,1.0,1.0
17_2_1_1_1_3,500.0,50.0,17.0
9_2_2_3_1_1,500.0,494.0,461.0
7_2_3_2_1_1,500.0,498.0,498.0
25_2_3_1_1_1,500.0,436.0,17.0
4_2_3_3_1_1,500.0,0.0,
13_2_1_1_1_2,500.0,34.0,6.0
11_2_2_1_1_1,500.0,0.0,
24_2_1_3_1_1,500.0,54.0,35.0
5_2_1_1_1_1,500.0,177.0,11.0
18_3_1_1_1_1,500.0,90.0,1.0
10_2_1_1_1_3,500.0,199.0,18.0
19_2_1_2_1_1,500.0,496.0,493.0
21_3_1_1_1_1,500.0,482.0,172.0
22_2_3_1_1_1,500.0,0.0,
3_2_3_3_1_1,500.0,0.0,
20_2_1_2_1_1,500.0,497.0,475.0
14_2_1_1_1_2,500.0,0.0,
16_2_2_1_1_1,500.0,116.0,4.0
23_2_1_3_1_1,500.0,493.0,430.0
2_2_1_1_1_1,500.0,0.0,
9_2_2_2_1_1,500.0,499.0,460.0
14_2_1_1_1_3,500.0,0.0,
6_2_1_1_1_1,500.0,429.0,12.0
12_2_2_1_1_1,500.0,499.0,3.0
10_2_1_1_1_2,500.0,257.0,9.0
24_2_1_2_1_1,500.0,53.0,37.0
7_2_3_3_1_1,500.0,499.0,499.0
4_2_3_2_1_1,500.0,0.0,
25_3_1_1_1_1,500.0,419.0,34.0
18_3_1_1_1_2,500.0,0.0,
18_2_2_3_1_1,500.0,495.0,494.0
6_2_1_1_1_3,500.0,42.0,19.0
21_3_1_1_1_2,500.0,306.0,163.0
15_2_3_3_1_1,500.0,490.0,373.0
16_2_3_2_1_1,500.0,492.0,395.0
14_2_1_1_1_1,500.0,27.0,2.0
22_2_2_2_1_1,500.0,496.0,452.0
2_2_1_1_1_2,500.0,0.0,
21_2_2_3_1_1,500.0,500.0,447.0
2_2_1_1_1_3,500.0,0.0,
8_2_1_3_1_1,500.0,0.0,
9_2_3_1_1_1,500.0,0.0,
6_2_1_1_1_2,500.0,126.0,21.0
25_2_2_3_1_1,500.0,500.0,478.0
4_2_2_1_1_1,500.0,0.0,
10_2_1_1_1_1,500.0,334.0,13.0
12_2_3_2_1_1,500.0,499.0,469.0
11_2_3_3_1_1,500.0,497.0,465.0
25_3_1_1_1_2,500.0,169.0,96.0
17_x_1_1_x_x,,,55.0
17_x_2_1_x_x,,,6.0
17_x_3_1_x_x,,,6.0
22_x_1_1_x_x,,,5.0
1_x_1_1_x_x,,,252.0
1_x_2_1_x_x,,,2.0
1_x_3_1_x_x,,,2.0
6_x_1_1_x_x,,,318.0
6_x_2_1_x_x,,,16.0
6_x_3_1_x_x,,,16.0
25_x_1_1_x_x,,,319.0
25_x_2_1_x_x,,,16.0
25_x_3_1_x_x,,,16.0
10_x_1_1_x_x,,,480.0
7_x_1_1_x_x,,,632.0
7_x_2_1_x_x,,,236.0
7_x_3_1_x_x,,,236.0
11_x_1_1_x_x,,,3.0
24_x_1_1_x_x,,,9.0
23_x_1_1_x_x,,,25.0
23_x_2_1_x_x,,,4.0
23_x_3_1_x_x,,,4.0
16_x_1_1_x_x,,,111.0
16_x_2_1_x_x,,,4.0
16_x_3_1_x_x,,,4.0
13_x_1_1_x_x,,,7.0
5_x_1_1_x_x,,,157.0
5_x_2_1_x_x,,,9.0
5_x_3_1_x_x,,,9.0
9_x_1_1_x_x,,,10.0
21_x_1_1_x_x,,,467.0
14_x_1_1_x_x,,,2.0
14_x_2_1_x_x,,,2.0
14_x_3_1_x_x,,,2.0
18_x_1_1_x_x,,,201.0
18_x_2_1_x_x,,,1.0
18_x_3_1_x_x,,,1.0
15_x_1_1_x_x,,,29.0
15_x_2_1_x_x,,,3.0
15_x_3_1_x_x,,,3.0
19_x_1_1_x_x,,,240.0
19_x_2_1_x_x,,,2.0
19_x_3_1_x_x,,,2.0
20_x_1_1_x_x,,,5.0
12_x_1_1_x_x,,,35.0
12_x_2_1_x_x,,,3.0
12_x_3_1_x_x,,,3.0
